content_density,contrast,edge_density,line_regularity,hw_grade,row_idx
0.336,32.5,0.0627,0.7,8,201
0.4015,80.3,0.0313,1.0,8,202
0.1683,52.6,0.1128,0.8,8,203
0.0422,11.9,0.0081,0.6,2,204
0.0974,26.8,0.0861,1.0,6,205
0.4059,28.9,0.0725,1.0,8,206
0.0664,52.3,0.0675,1.0,6,207
0.048,24.9,0.0887,1.0,5,208
0.1845,43.9,0.0457,1.0,6,209
0.1184,35.8,0.1116,1.0,6,210
0.1862,33.0,0.1166,1.0,7,211
0.3364,57.0,0.0379,1.0,8,212
0.1033,38.5,0.1145,1.0,6,213
0.3122,57.5,0.101,1.0,9,214
0.3039,52.7,0.0402,1.0,8,215
0.1423,37.1,0.2426,1.0,8,216
0.2667,58.2,0.1029,1.0,9,217
0.1199,58.6,0.1068,1.0,7,218
0.1185,47.3,0.1439,1.0,7,219
0.3232,55.5,0.1366,1.0,10,220
0.1163,54.9,0.1571,1.0,8,221
0.0838,25.3,0.0769,1.0,6,222
0.3666,55.0,0.0238,1.0,8,223
0.0,0.0,0.0,0.0,1,224
0.3484,72.4,0.0796,1.0,9,225
0.2425,45.6,0.0911,1.0,8,226
0.3786,82.7,0.1486,1.0,10,227
0.0646,56.7,0.062,0.9,6,228
0.0682,28.4,0.103,1.0,5,229
0.1703,43.9,0.161,1.0,8,230
0.3313,48.4,0.0666,1.0,8,231
0.0999,41.4,0.0605,1.0,6,232
0.2614,52.0,0.0574,1.0,9,233
0.2295,19.4,0.0033,1.0,5,234
0.1851,32.9,0.0671,1.0,7,235
0.187,34.8,0.0226,1.0,6,236
0.2935,62.2,0.0679,1.0,9,237
0.3021,47.2,0.1603,1.0,9,238
0.2636,50.0,0.078,1.0,9,239
0.4471,67.0,0.0318,0.9,8,240
0.5474,17.0,0.0323,1.0,6,241
0.3215,40.7,0.2623,1.0,10,242
0.1823,35.4,0.0437,1.0,6,243
0.3857,61.5,0.112,1.0,9,244
0.1836,44.3,0.0889,1.0,8,245
0.1562,45.5,0.1101,1.0,8,246
0.2192,53.8,0.1475,1.0,8,247
0.3445,69.8,0.0904,1.0,9,248
0.1204,34.3,0.0855,1.0,6,249
0.1799,34.4,0.0814,1.0,7,250
0.1642,42.7,0.0253,1.0,6,251
0.6192,56.9,0.123,1.0,10,252
0.1436,38.4,0.1948,1.0,7,253
0.1373,32.5,0.0899,1.0,6,254
0.2457,46.1,0.2437,1.0,8,255
0.1147,30.8,0.0793,1.0,6,256
0.1388,42.0,0.0659,1.0,6,257
0.3653,51.7,0.2162,1.0,10,258
0.3785,39.2,0.0593,1.0,8,259
0.1132,34.3,0.0305,1.0,5,260
0.1988,25.1,0.0167,1.0,6,261
0.4282,42.4,0.0335,1.0,8,262
0.1473,29.4,0.0413,1.0,5,263
0.1169,36.4,0.1001,1.0,6,264
0.1113,15.5,0.1875,1.0,6,265
0.2494,41.4,0.0672,1.0,8,266
0.024,19.7,0.0274,0.6,2,267
0.3163,68.5,0.0791,1.0,9,268
0.2773,37.7,0.0691,1.0,8,269
0.2544,52.9,0.246,1.0,10,270
0.2274,58.8,0.1244,1.0,8,271
0.0,0.0,0.0,0.0,1,272
0.2574,60.3,0.2386,1.0,10,273
0.224,45.2,0.0789,1.0,8,274
0.2372,51.8,0.2019,1.0,9,275
0.1733,44.8,0.0715,1.0,8,276
0.2391,52.9,0.1309,1.0,8,277
0.1217,42.1,0.0678,1.0,6,278
0.1587,50.5,0.224,1.0,9,279
0.0806,29.9,0.0791,1.0,6,280
0.351,36.6,0.1006,1.0,8,281
0.2015,57.0,0.1282,1.0,8,282
0.054,28.9,0.0595,0.9,5,283
0.1309,22.1,0.1547,1.0,6,284
0.1266,47.9,0.166,1.0,7,285
0.1498,44.4,0.0536,1.0,6,286
0.1922,40.4,0.1459,1.0,8,287
0.0721,43.6,0.0622,0.8,6,288
0.0,0.0,0.0,0.0,1,289
0.1314,47.7,0.0995,1.0,6,290
0.2991,67.7,0.1379,1.0,10,291
0.0395,23.7,0.1201,0.9,6,292
0.2496,34.9,0.0734,1.0,7,293
0.1555,55.7,0.1298,1.0,8,294
0.0914,32.6,0.0759,1.0,6,295
0.156,44.8,0.0936,1.0,8,296
0.0,0.0,0.0,0.0,1,297
0.3322,37.9,0.1487,1.0,9,298
0.1521,38.2,0.0505,1.0,8,299
0.0942,54.8,0.1802,1.0,8,300
0.2103,44.7,0.1203,1.0,8,301
0.3817,72.7,0.1478,1.0,10,302
0.2082,45.4,0.0461,1.0,6,303
0.3928,80.8,0.2303,1.0,10,304
0.1416,40.4,0.0729,1.0,6,305
0.2159,50.0,0.1114,1.0,8,306
0.0443,26.3,0.1352,0.9,6,307
0.0294,33.8,0.0822,0.8,5,308
0.4245,65.0,0.0579,1.0,9,309
0.1154,51.8,0.178,1.0,8,310
0.0683,24.3,0.0399,1.0,4,311
0.121,37.1,0.0465,1.0,6,312
0.5512,23.3,0.0479,1.0,7,313
0.0858,33.6,0.1138,1.0,6,314
0.1973,50.9,0.1794,1.0,8,315
0.1621,46.3,0.1407,1.0,8,316
0.0548,25.9,0.098,1.0,5,317
0.0,0.0,0.0,0.0,1,318
0.3419,70.4,0.0236,0.9,8,319
0.0522,29.3,0.1308,1.0,6,320
0.364,52.4,0.1085,1.0,9,321
0.2383,76.4,0.0886,1.0,8,322
0.0,0.0,0.0,0.0,1,323
0.2099,61.2,0.0866,1.0,8,324
0.2589,38.4,0.1104,1.0,8,325
0.2264,56.7,0.167,1.0,8,326
0.0586,33.1,0.1848,1.0,6,327
0.2385,42.8,0.1311,1.0,8,328
0.2667,87.5,0.0675,0.9,9,329
0.25,71.5,0.0329,1.0,8,330
0.3161,57.8,0.0186,0.9,8,331
0.9695,27.6,0.0498,1.0,7,332
0.2158,42.6,0.0392,1.0,6,333
0.1347,57.1,0.1211,0.9,8,334
1.0,3.4,0.0144,1.0,6,335
0.2262,63.3,0.1944,1.0,8,336
0.0445,28.0,0.1427,0.8,6,337
0.4331,50.9,0.1805,1.0,10,338
0.2759,42.5,0.0584,1.0,8,339
0.1216,37.6,0.1475,1.0,7,340
0.1867,38.2,0.2578,1.0,8,341
0.1952,54.2,0.1686,1.0,8,342
0.2584,72.2,0.0721,1.0,9,343
0.4977,60.5,0.0184,1.0,8,344
0.2381,42.7,0.0292,0.9,6,345
0.0359,24.3,0.0106,1.0,4,346
0.082,23.6,0.0243,0.6,4,347
0.0519,26.8,0.0252,1.0,4,348
0.1815,48.9,0.1179,1.0,8,349
0.1659,44.0,0.1236,1.0,8,350
0.1378,36.9,0.0369,1.0,6,351
0.27,48.0,0.0273,0.9,8,352
0.0736,34.1,0.0303,1.0,4,353
0.0327,25.7,0.0988,0.9,5,354
0.1076,42.9,0.1143,1.0,6,355
0.0939,30.5,0.2306,1.0,7,356
0.043,42.9,0.0102,0.6,4,357
0.0,0.0,0.0,0.0,1,358
0.0,0.0,0.0,0.0,1,359
0.0609,27.3,0.0627,1.0,5,360
0.1363,72.2,0.1472,1.0,8,361
0.0,0.0,0.0,0.0,1,362
0.2032,57.5,0.1537,1.0,8,363
0.219,63.5,0.1425,1.0,8,364
0.307,46.1,0.0443,1.0,8,365
0.0442,26.3,0.1349,0.9,6,366
0.2481,69.1,0.0734,1.0,8,367
0.0096,18.2,0.0553,0.2,2,368
0.0,0.0,0.0,0.0,1,369
0.0323,23.4,0.0378,0.5,4,370
0.2309,55.1,0.0572,1.0,8,371
0.0642,31.1,0.1309,0.9,6,372
0.126,36.7,0.0536,1.0,6,373
0.0645,30.0,0.0594,1.0,5,374
0.139,44.4,0.1266,1.0,7,375
0.2675,88.7,0.1387,1.0,10,376
0.2116,37.2,0.1032,1.0,8,377
